ticker,nombre,peso_icolcap,es_grande,peso_sintetico
EXITO,ALMACENES EXITO SA,0.0,False,4.5455
TERPEL,ORGANIZACION TERPEL SA,0.0,False,4.5455
CORFICOLCF,CORPORACION FINANCIERA COLOMBIANA,0.0,False,4.5455
PFGRUPSURA,GRUPO DE INVERSIONES SURAMERICANA,0.0,False,4.5455
GRUPOARGOS,INVERSIONES ARGOS SA,0.0,True,4.5455
CELSIA,CELSIA ESP SA,0.0,False,4.5455
GEB,GRUPO ENERGIA BOGOTA SA,0.0,False,4.5455
BOGOTA,BANCO DE BOGOTA SA,0.0,False,4.5455
GRUBOLIVAR,GRUPO BOLIVAR SA,0.0,False,4.5455
GRUPOSURA,GRUPO DE INVERSIONES SURAMERICANA,0.0,True,4.5455
PFGRUPOARG,INVERSIONES ARGOS PREF SA,0.0,False,4.5455
ECOPETROL,ECOPETROL SA,0.0,True,4.5455
PEI,PATRIMONIO ESTRATEGIAS INMOBIL REI,0.0,False,4.5455
ISA,INTERCONEXION ELECTRICA SA,0.0,True,4.5455
PFDAVIGRP,DAVIVIENDA GROUP PRF SA,0.0,False,4.5455
PROMIGAS,PROMIGAS SA,0.0,False,4.5455
PFAVAL,GRUPO AVAL ACCIONES Y VALORES PREF,0.0,True,4.5455
CEMARGOS,CEMENTOS ARGOS SA,0.0,False,4.5455
PFCORFICOL,CORPORACION FINANCIERA COLOMBIANA,0.0,False,4.5455
MINEROS,MINEROS SA,0.0,False,4.5455
PFCIBEST,GRUPO CIBEST PREF SA,0.0,False,4.5455
CIBEST,GRUPO CIBEST SA,0.0,False,4.5455
