fecha,icolcap_real
2009-02-09,30.9
2009-02-10,30.0
2009-02-11,30.0
2009-02-12,30.0
2009-02-13,30.48
2009-02-17,29.34
2009-02-18,29.4
2009-02-19,29.64
2009-02-20,28.2
2009-02-23,28.0
2009-02-26,28.26
2009-02-27,28.26
2009-03-02,28.26
2009-03-03,28.26
2009-03-04,28.68
2009-03-05,28.68
2009-03-06,28.68
2009-03-09,28.68
2009-03-10,29.36
2009-03-11,29.36
2009-03-12,29.36
2009-03-13,30.14
2009-03-16,30.86
2009-03-17,31.56
2009-03-18,31.54
2009-03-19,32.26
2009-03-20,32.42
2009-03-24,32.4
2009-03-25,32.26
2009-03-26,31.98
2009-03-27,30.8
2009-03-30,30.059999
2009-03-31,30.2
2009-04-01,30.4
2009-04-02,31.42
2009-04-03,31.6
2009-04-06,31.56
2009-04-07,32.0
2009-04-08,32.54
2009-04-13,32.52
2009-04-14,32.52
2009-04-15,32.74
2009-04-16,33.099998
2009-04-17,32.7
2009-04-20,32.64
2009-04-21,32.68
2009-04-22,32.42
2009-04-23,34.02
2009-04-24,34.0
2009-04-27,34.54
2009-04-28,34.3
2009-04-29,34.9
2009-04-30,35.88
2009-05-04,36.099998
2009-05-05,36.84
2009-05-06,37.32
2009-05-07,38.0
2009-05-08,39.0
2009-05-11,38.2
2009-05-12,39.099998
2009-05-13,38.02
2009-05-14,38.28
2009-05-15,38.86
2009-05-18,38.6
2009-05-19,39.34
2009-05-20,40.96
2009-05-21,40.22
2009-05-22,40.0
2009-05-26,40.58
2009-05-27,40.0
2009-05-28,41.0
2009-05-29,41.82
2009-06-01,42.8
2009-06-02,44.099998
2009-06-05,44.72
2009-06-08,43.8
2009-06-09,44.74
2009-06-10,44.9
2009-06-11,45.66
2009-06-12,46.6
2009-06-16,45.6
2009-06-17,44.2
2009-06-18,45.24
2009-06-19,45.46
2009-06-23,44.36
2009-06-24,42.88
2009-06-25,44.24
2009-06-26,44.7
2009-06-30,45.3
2009-07-01,46.94
2009-07-02,47.28
2009-07-06,46.86
2009-07-07,46.36
2009-07-08,45.9
2009-07-09,45.080002
2009-07-10,44.42
2009-07-13,45.0
2009-07-14,48.36
2009-07-15,47.3
2009-07-16,47.099998
2009-07-17,48.4
2009-07-21,49.82
2009-07-22,49.96
2009-07-23,52.099998
2009-07-24,51.34
2009-07-27,50.72
2009-07-28,50.12
2009-07-29,48.0
2009-07-30,48.9
2009-07-31,49.44
2009-08-03,50.74
2009-08-04,50.4
2009-08-05,50.7
2009-08-06,51.34
2009-08-10,51.5
2009-08-11,50.5
2009-08-12,49.68
2009-08-13,51.4
2009-08-14,51.24
2009-08-18,49.7
2009-08-19,50.52
2009-08-20,51.38
2009-08-21,51.32
2009-08-24,51.74
2009-08-25,52.36
2009-08-26,51.92
2009-08-27,52.66
2009-08-28,52.38
2009-08-31,51.8
2009-09-01,48.54
2009-09-03,50.92
2009-09-04,50.92
2009-09-08,53.0
2009-09-09,53.36
2009-09-10,53.36
2009-09-11,53.98
2009-09-14,54.0
2009-09-15,54.0
2009-09-16,55.66
2009-09-17,55.16
