fecha,icolcap_real,icolcap_base100,sintetico_base100,grandes_base100
2009-02-09,30.9,100.0,100.0,100.0
2009-02-10,30.0,97.0874,99.4336,99.4662
2009-02-11,30.0,97.0874,99.4336,99.4662
2009-02-12,30.0,97.0874,99.4336,99.4662
2009-02-13,30.48,98.6408,99.7374,99.7525
2009-02-17,29.34,94.9515,99.0095,99.0663
2009-02-18,29.4,95.1456,99.0484,99.1029
2009-02-19,29.64,95.9223,99.2032,99.249
2009-02-20,28.2,91.2621,98.2985,98.3958
2009-02-23,28.0,90.6149,98.2985,98.3958
2009-02-26,28.26,91.4563,98.2985,98.3958
2009-02-27,28.26,91.4563,98.2985,98.3958
2009-03-02,28.26,91.4563,98.2985,98.3958
2009-03-03,28.26,91.4563,98.2985,98.3958
2009-03-04,28.68,92.8155,98.9808,98.9711
2009-03-05,28.68,92.8155,98.9808,98.9711
2009-03-06,28.68,92.8155,98.9808,98.9711
2009-03-09,28.68,92.8155,98.9808,98.9711
2009-03-10,29.36,95.0162,100.0744,99.8919
2009-03-11,29.36,95.0162,100.0744,99.8919
2009-03-12,29.36,95.0162,100.0744,99.8919
2009-03-13,30.14,97.5405,101.3124,100.9323
2009-03-16,30.86,99.8706,101.4069,101.0116
2009-03-17,31.56,102.1359,101.4069,101.0116
2009-03-18,31.54,102.0712,101.4069,101.0116
2009-03-19,32.26,104.4013,101.4069,101.0116
2009-03-20,32.42,104.9191,101.4069,101.0116
2009-03-24,32.4,104.8544,101.4069,101.0116
2009-03-25,32.26,104.4013,101.4069,101.0116
2009-03-26,31.98,103.4951,101.4069,101.0116
2009-03-27,30.8,99.6764,101.4069,101.0116
2009-03-30,30.06,97.2816,101.1862,100.8263
2009-03-31,30.2,97.7346,101.4069,101.0116
2009-04-01,30.4,98.3819,101.4069,101.0116
2009-04-02,31.42,101.6828,103.0719,102.3833
2009-04-03,31.6,102.2654,103.3629,102.6226
2009-04-06,31.56,102.1359,103.2983,102.5695
2009-04-07,32.0,103.5599,104.0065,103.1516
2009-04-08,32.54,105.3074,104.8689,103.8594
2009-04-13,32.52,105.2427,104.8371,103.8334
2009-04-14,32.52,105.2427,104.8371,103.8334
2009-04-15,32.74,105.9547,105.1865,104.1199
2009-04-16,33.1,107.1197,105.7557,104.5863
2009-04-17,32.7,105.8252,105.1231,104.0679
2009-04-20,32.64,105.6311,105.0278,103.9898
2009-04-21,32.68,105.7605,105.0913,104.0418
2009-04-22,32.42,104.9191,104.6779,103.7027
2009-04-23,34.02,110.0971,107.1961,105.7647
2009-04-24,34.0,110.0324,107.165,105.7393
2009-04-27,34.54,111.7799,108.0016,106.4225
2009-04-28,34.3,111.0032,107.6306,106.1196
2009-04-29,34.9,112.945,108.5556,106.8744
2009-04-30,35.88,116.1165,110.0493,108.0909
2009-05-04,36.1,116.8285,110.0493,108.0909
2009-05-05,36.84,119.2233,111.3142,109.5855
2009-05-06,37.32,120.7767,112.1287,110.5497
2009-05-07,38.0,122.9773,113.2748,111.909
2009-05-08,39.0,126.2136,114.944,113.8936
2009-05-11,38.2,123.6246,113.6101,112.3072
2009-05-12,39.1,126.5372,115.1099,114.0912
2009-05-13,38.02,123.0421,113.3083,111.9488
2009-05-14,38.28,123.8835,113.7441,112.4663
2009-05-15,38.86,125.7605,114.7115,113.6168
2009-05-18,38.6,124.9191,114.2786,113.1017
2009-05-19,39.34,127.3139,115.5073,114.5646
2009-05-20,40.96,132.5566,118.1625,117.7365
2009-05-21,40.22,130.1618,116.9554,116.2928
2009-05-22,40.0,129.4498,116.5947,115.8619
2009-05-26,40.58,131.3269,117.5438,116.9962
2009-05-27,40.0,129.4498,116.5947,115.8619
2009-05-28,41.0,132.6861,118.2274,117.8143
2009-05-29,41.82,135.3398,119.5534,119.4038
2009-06-01,42.8,138.5113,119.5534,119.4038
2009-06-02,44.1,142.7184,123.2808,123.2727
2009-06-05,44.72,144.7249,125.0595,125.1205
2009-06-08,43.8,141.7476,122.4204,122.3792
2009-06-09,44.74,144.7896,125.1169,125.1801
2009-06-10,44.9,145.3074,125.576,125.6572
2009-06-11,45.66,147.767,126.7241,126.8506
2009-06-12,46.6,150.8091,126.7241,126.8506
2009-06-16,45.6,147.5728,126.7241,126.8506
2009-06-17,44.2,143.0421,123.5676,123.5706
2009-06-18,45.24,146.4078,126.5518,126.6715
2009-06-19,45.46,147.1197,126.7241,126.8506
2009-06-23,44.36,143.5599,124.0266,124.0474
2009-06-24,42.88,138.7702,119.7827,119.6417
2009-06-25,44.24,143.1715,123.6824,123.6898
2009-06-26,44.7,144.6602,125.0021,125.0608
2009-06-30,45.3,146.6019,126.7241,126.8506
2009-07-01,46.94,151.9094,126.7241,126.8506
2009-07-02,47.28,153.0097,127.3317,127.8149
2009-07-06,46.86,151.6505,126.7241,126.8506
2009-07-07,46.36,150.0324,126.7241,126.8506
2009-07-08,45.9,148.5437,126.7241,126.8506
2009-07-09,45.08,145.89,126.7241,126.8506
2009-07-10,44.42,143.754,126.7241,126.8506
2009-07-13,45.0,145.6311,126.7241,126.8506
2009-07-14,48.36,156.5049,129.252,130.8801
2009-07-15,47.3,153.0744,127.3674,127.8716
2009-07-16,47.1,152.4272,127.0102,127.3043
2009-07-17,48.4,156.6343,129.3229,130.9937
2009-07-21,49.82,161.2298,131.158,133.9487
2009-07-22,49.96,161.6828,131.158,133.9487
2009-07-23,52.1,168.6084,131.158,133.9487
2009-07-24,51.34,166.1489,131.158,133.9487
2009-07-27,50.72,164.1424,131.158,133.9487
2009-07-28,50.12,162.2006,131.158,133.9487
2009-07-29,48.0,155.3398,128.6135,129.858
2009-07-30,48.9,158.2524,130.2068,132.414
2009-07-31,49.44,160.0,131.158,133.9487
2009-08-03,50.74,164.2071,131.158,133.9487
2009-08-04,50.4,163.1068,131.158,133.9487
2009-08-05,50.7,164.0777,131.158,133.9487
2009-08-06,51.34,166.1489,134.6533,137.5129
2009-08-10,51.5,166.6667,135.594,138.4721
2009-08-11,50.5,163.4304,131.158,133.9487
2009-08-12,49.68,160.7767,131.158,133.9487
2009-08-13,51.4,166.343,135.0056,137.8722
2009-08-14,51.24,165.8252,134.0672,136.9153
2009-08-18,49.7,160.8414,131.158,133.9487
2009-08-19,50.52,163.4951,131.158,133.9487
2009-08-20,51.38,166.2783,134.8881,137.7524
2009-08-21,51.32,166.0841,134.536,137.3933
2009-08-24,51.74,167.4434,137.0118,139.9178
2009-08-25,52.36,169.4498,137.3676,140.2805
2009-08-26,51.92,168.0259,137.3676,140.2805
2009-08-27,52.66,170.4207,137.3676,140.2805
2009-08-28,52.38,169.5146,137.3676,140.2805
2009-08-31,51.8,167.6375,137.3676,140.2805
2009-09-01,48.54,157.0874,137.3676,140.2805
2009-09-03,50.92,164.7896,139.6075,143.9251
2009-09-04,50.92,164.7896,139.6075,143.9251
2009-09-08,53.0,171.521,141.509,147.0461
2009-09-09,53.36,172.6861,141.8331,147.5805
