Fecha,Año,Mes,Indice_7Grandes,Indice_IgualPonderacion,Retorno_Mensual_7Grandes_%,Retorno_Mensual_IgualPond_%,Acciones_Activas_7Grandes,Acciones_Activas_IgualPond,Base100_ECOPETROL,Base100_BANCO_COMBINED,Base100_GRUPOSURA,Base100_ISA,Base100_NUTRESA,Base100_GRUPOARGOS,Base100_GEB_CLEAN,Retorno_12m_7Grandes_%,Retorno_12m_IgualPond_%
2009-01-01,2009,1,100.0,100.0,,,0,0,100.0,100.0,100.0,100.0,100.0,100.0,,,
2009-02-01,2009,2,98.4,102.31,-1.6042,2.3069,6,22,103.19,85.8,99.36,98.12,102.82,101.08,,,
2009-03-01,2009,3,101.01,103.83,2.6585,1.4871,6,22,104.9,94.7,101.27,100.0,101.48,102.49,,,
2009-04-01,2009,4,108.09,113.16,7.0083,8.9866,6,23,103.92,104.21,109.68,109.54,108.87,110.49,,,
2009-05-01,2009,5,119.4,122.18,10.4661,7.9738,6,23,116.91,120.9,122.29,116.94,112.9,124.11,,,
2009-06-01,2009,6,126.85,128.99,6.2366,5.5736,6,23,126.47,128.24,127.9,122.72,121.24,131.89,,,
2009-07-01,2009,7,133.95,132.18,5.5957,2.4738,6,23,136.03,127.93,137.45,139.78,122.58,136.86,,,
2009-08-01,2009,8,140.28,138.09,4.727,4.4657,6,23,131.37,141.5,142.68,151.88,126.88,144.0,,,
2009-09-01,2009,9,157.85,147.95,12.5267,7.144,6,23,132.6,160.69,159.24,163.98,153.49,172.97,,,
2009-10-01,2009,10,147.66,137.95,-6.4558,-6.76,6,23,125.0,153.67,143.31,156.18,140.05,164.11,,,
2009-11-01,2009,11,155.17,145.99,5.0861,5.8297,6,23,122.79,167.71,150.96,153.49,147.85,187.03,,,
2009-12-01,2009,12,162.66,160.47,4.8238,9.917,6,23,121.81,179.88,156.31,174.46,141.13,205.41,,,
2010-01-01,2010,1,161.31,161.82,-0.8259,0.8389,6,23,120.34,169.73,160.76,170.43,135.75,216.0,,61.31,61.82
