fecha,canasta_tickers,pares_precio_validos,retornos_atipicos,cobertura_canasta,retorno_equiponderado_pct,lideres_tickers,lideres_pares_validos,lideres_atipicos,cobertura_lideres,retorno_lideres_pct,estado,metodologia
2009-02-01,17,17,0,1.0,-1.701487,6,6,0,1.0,-1.604237,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2009-03-01,17,17,0,1.0,3.16218,6,6,0,1.0,2.658529,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2009-04-01,17,17,0,1.0,8.522552,6,6,0,1.0,7.00835,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2009-05-01,17,17,0,1.0,8.636139,6,6,0,1.0,10.466139,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2009-06-01,17,17,0,1.0,5.997907,6,6,0,1.0,6.236606,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2009-07-01,17,17,0,1.0,3.498874,6,6,0,1.0,5.595669,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2009-08-01,17,17,0,1.0,4.734428,6,6,0,1.0,4.727034,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2009-09-01,17,17,0,1.0,7.726509,6,6,0,1.0,12.526746,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2009-10-01,17,17,0,1.0,-4.693811,6,6,0,1.0,-6.455804,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2009-11-01,18,18,0,1.0,6.265216,6,6,0,1.0,5.086115,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2009-12-01,18,18,0,1.0,4.16898,6,6,0,1.0,4.823833,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2010-01-01,18,18,0,1.0,-0.472664,6,6,0,1.0,-0.825887,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2010-02-01,18,18,0,1.0,1.393394,6,6,0,1.0,1.896501,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2010-03-01,18,18,0,1.0,3.599796,6,6,0,1.0,3.095045,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2010-04-01,18,18,0,1.0,2.27521,6,6,0,1.0,1.997382,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2010-05-01,19,19,0,1.0,-2.850749,5,5,0,1.0,-0.803699,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2010-06-01,19,19,0,1.0,1.157536,5,5,0,1.0,1.594847,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2010-07-01,19,19,0,1.0,4.95018,5,5,0,1.0,8.118946,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2010-08-01,19,19,0,1.0,5.955847,5,5,0,1.0,6.529506,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2010-09-01,19,19,0,1.0,3.281153,5,5,0,1.0,6.520557,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2010-10-01,19,19,0,1.0,5.143511,5,5,0,1.0,6.577392,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2010-11-01,19,19,0,1.0,-5.095176,5,5,0,1.0,-8.758071,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2010-12-01,19,19,0,1.0,3.243363,5,5,0,1.0,2.093133,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
2011-01-01,19,19,0,1.0,-0.975791,5,5,0,1.0,-5.541103,revisable,precios_mensuales_sin_ajustes_corporativos_verificados
