fecha,inflacion_mensual,inflacion_anual,fuente_mensual,fuente_anual,fuente_oficial_ultimo_mes,fuente_historia_mensual,fecha_publicacion_vintage
2006-01-01,0.54,4.55,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2006-02-01,0.66,4.19,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2006-03-01,0.7,4.12,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2006-04-01,0.45,4.11,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2006-05-01,0.33,4.04,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2006-06-01,0.3,3.95,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2006-07-01,0.41,4.33,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2006-08-01,0.39,4.72,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2006-09-01,0.29,4.58,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
2006-10-01,-0.14,4.18,DANE_variacion_reportada,BanRep_IPC_calculada_2_decimales,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-ago2026.xlsx,https://www.dane.gov.co/files/operaciones/IPC/ago2026/anex-IPC-Variacion-ago2026.xlsx,no_disponible
