fecha,trimestre,pib_real_miles_millones_ref2015,pib_real_ajustado_miles_millones_ref2015,pib_nominal_billones_cop,pib_real_yoy,pib_real_qoq_sa,pib_nominal_yoy,fecha_publicacion_vintage,fuente,estado_dato
2009-01-01,T1 2009,144809.30611350,150697.91937448,118.65955622,0.14505529,-0.00380601,5.35028058,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2009-04-01,T2 2009,149107.25677623,152431.56051947,120.78103735,0.69590758,1.15040815,6.28056625,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2009-07-01,T3 2009,154400.05289617,153990.64816840,129.06344381,0.53289725,1.02281158,3.76363805,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2009-10-01,T4 2009,164299.38421410,155495.87193764,133.06996262,3.03806065,0.97747739,5.69923355,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2010-01-01,T1 2010,150425.05947317,156890.92667400,128.91376399,3.87803347,0.89716513,8.64170413,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2010-04-01,T2 2010,155999.77978941,158881.30171124,131.33780236,4.62252687,1.26863617,8.74041591,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2010-07-01,T3 2010,160649.63472747,160404.15595131,138.32218533,4.04765524,0.95848550,7.17379085,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2010-10-01,T4 2010,173076.52600996,163974.61566345,145.48624833,5.34216354,2.22591472,9.33064492,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2011-01-01,T1 2011,160667.37132157,167062.53955042,144.95831606,6.80891328,1.88317190,12.44595734,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2011-04-01,T2 2011,166592.67129145,169900.66682825,149.26592838,6.79032465,1.69884122,13.65039288,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2011-07-01,T3 2011,173370.05007005,173258.72717424,158.28850586,7.91811034,1.97648450,14.43464798,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2011-10-01,T4 2011,183997.90731693,174406.06644709,166.51024970,6.31014590,0.66221153,14.45085128,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2012-01-01,T1 2012,170705.61427158,177356.75800814,161.50973304,6.24784165,1.69185145,11.41805274,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2012-04-01,T2 2012,174583.33892491,177877.00933124,162.43791630,4.79653011,0.29333606,8.82451077,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2012-07-01,T3 2012,177201.54719248,177001.44093172,167.54339087,2.21001097,-0.49223247,5.84684590,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2012-10-01,T4 2012,188924.49961103,179179.79172891,175.01595979,2.67752626,1.23069665,5.10822012,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2013-01-01,T1 2013,174556.82109015,181939.16226425,168.29838905,2.25605164,1.54000097,4.20324886,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2013-04-01,T2 2013,184037.62924238,187121.70330843,174.28261326,5.41534512,2.84850220,7.29183015,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2013-07-01,T3 2013,188350.42661997,188127.68681615,183.49679462,6.29163774,0.53760921,9.52195349,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2013-10-01,T4 2013,200994.12304750,190750.44761117,188.01520307,6.38859622,1.39413865,7.42746164,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2014-01-01,T1 2014,186100.56973625,193379.21612540,184.42172649,6.61317534,1.37811919,9.58020902,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2014-04-01,T2 2014,190344.80323953,194318.21047045,183.82030356,3.42711109,0.48557149,5.47254263,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2014-07-01,T3 2014,196602.76799041,196013.62257949,194.74643768,4.38137652,0.87249265,6.13070276,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2014-10-01,T4 2014,208540.85903381,197877.95082466,199.91453227,3.75470480,0.95112177,6.32891862,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2015-01-01,T1 2015,191358.55216352,199390.88527959,192.10067696,2.82534462,0.76457961,4.16379925,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2015-04-01,T2 2015,196858.93021078,200682.62620685,191.66254078,3.42227729,0.64784352,4.26625191,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2015-07-01,T3 2015,203634.72092333,202683.73270422,208.17076057,3.57673140,0.99714985,6.89323155,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2015-10-01,T4 2015,212839.79670237,201934.75580933,212.75802169,2.06143664,-0.36952985,6.42449014,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
2016-01-01,T1 2016,195903.56084094,204818.58020637,206.79431978,2.37512702,1.42809710,7.64892818,2026-08-18,https://www.dane.gov.co/files/operaciones/PIB/anex-ProduccionConstantes-IItrim2026.xlsx,DANE_publicado_sujeto_a_revision
