fecha,BCOLOMBIA,BIOMAX,BNA,BOGOTA,BVC,CELSIA,CEMARGOS,CHOCOLATES,CIBEST,CLH,CNEC,COLINVERS,COLTEJER,CONCONCRET,CORFICOLCF,ECOPETROL,EEB,ENKA,ETB,EXITO,FABRICATO,GEB,GRUBOLIVAR,GRUPOARGOS,GRUPOAVAL,GRUPOSURA,INTERBOLSA,INVERARGOS,ISA,ISAGEN,MINEROS,NUTRESA,PAZRIO,PEI,PFAVAL,PFAVH,PFAVTA,PFBCOLOM,PFBCREDITO,PFCARPAK,PFCEMARGOS,PFCIBEST,PFCORFICOL,PFDAVIGRP,PFDAVVNDA,PFGRUPOARG,PFGRUPSURA,PFHELMBANK,PMGC,PREC,PROMIGAS,SIE,SURAMINV,TABLEMAC,TERPEL
2009-01-01,,,,23500.0,8991.4,2320.0,3647.9,,81.125,,,,1.06,,13400.0,2040.0,,5.0,630.0,9900.0,24.2,,,9250.0,504.0,15700.0,1575.0,,7440.0,1920.0,2500.0,14880.0,34.0,,,,,12774.1,,,,12820.0,11900.0,,,,,322.0,,,5500.0,,,3.84,
2009-02-01,,,,23500.0,8600.5,2250.0,3611.5,,72.5,,,,1.04,,13360.0,2105.0,,8.95,607.0,9500.0,27.1,,,9350.0,455.0,15600.0,1590.0,,7300.0,1815.0,2675.0,15300.0,31.0,,,,,10960.6,,,,11000.0,12600.0,,,,,306.0,,,5428.571428571428,,,3.77,
2009-03-01,,,,22980.0,8307.3,2360.0,3336.1,,76.375,,,,1.05,,13800.0,2140.0,,7.8,690.0,10880.0,28.6,,98000.0,9480.0,468.0,15900.0,1690.0,,7440.0,1870.0,2760.0,15100.0,28.0,,,,,12096.6,,,,12140.0,12300.0,,,,,305.0,,,5714.285714285715,,,3.72,
2009-04-01,,,,24660.0,11050.0,2626.0,3481.6,,83.625,,,,1.01,,14900.0,2120.0,,9.55,820.0,11200.0,30.0,,103100.0,10220.0,518.0,17220.0,1700.0,,8150.0,2025.0,2915.0,16200.0,28.9,,,,,13312.2,,,,13360.0,12600.0,,,,,319.0,,,5777.142857142857,,,4.28,
2009-05-01,,,,27500.0,11500.0,3030.0,3793.4,,96.875,,,,1.0,,16240.0,2385.0,,8.99,855.0,12500.0,29.1,,103000.0,11480.0,600.0,19200.0,1665.0,,8700.0,2160.0,3000.0,16800.0,30.0,,,,,15444.5,,,,15500.0,14100.0,,,,,353.0,,,5428.571428571428,,,5.55,
2009-06-01,,,,29300.0,13500.0,3210.0,4302.6,,102.5,,,,0.99,,18300.0,2580.0,,8.5,871.0,14100.0,27.5,,110000.0,12200.0,633.0,20080.0,1655.0,,9130.0,2340.0,2920.0,18040.0,29.5,,,,,16381.2,,,,16440.0,15840.0,,,,,375.0,,,5580.0,,,5.53,
2009-07-01,,,,29300.0,13650.0,3102.0,4728.7,,102.5,,,,0.96,,19400.0,2775.0,,8.22,974.0,16040.0,23.4,,115000.0,12660.0,651.0,21580.0,1750.0,,10400.0,2185.0,3215.0,18240.0,21.3,,,,,16341.3,,,,16400.0,18000.0,,,,,407.0,,,5931.428571428572,,,5.49,
2009-08-01,,,,30120.0,13550.0,3400.0,5123.7,,113.875,,,,1.03,,21360.0,2680.0,,7.4,1170.0,16440.0,23.2,,110000.0,13320.0,666.0,22400.0,1700.0,,11300.0,2290.0,3700.0,18880.0,21.3,,,,,18075.1,,,,18140.0,20160.0,,,,,411.0,,,6020.0,,,5.55,
2009-09-01,,,,33000.0,14650.0,4350.0,5705.7,,127.5,,,,1.06,,23280.0,2705.0,,7.2,1030.0,15700.0,21.2,,113000.0,16000.0,745.0,25000.0,2135.0,,12200.0,2245.0,4750.0,22840.0,20.0,,,,,20526.3,,,,20600.0,21040.0,,,,,450.0,,,5857.142857142857,,,6.35,
2009-10-01,,890.0,,32000.0,14050.0,4850.0,5196.4,,121.875,,,,0.97,,22200.0,2550.0,,6.85,965.0,15540.0,21.0,863.8,24940.0,15180.0,739.0,22500.0,2365.0,,11620.0,2095.0,5370.0,20840.0,18.1,,,,,19629.5,,,,19700.0,21000.0,,,,,432.0,,,5714.285714285715,,,5.72,
2009-11-01,,770.0,,33000.0,14850.0,5390.0,5456.2,,135.0,,,,0.99,,22700.0,2505.0,,6.22,1120.0,18680.0,26.8,1139.0,36100.0,17300.0,747.0,23700.0,2310.0,,11420.0,2210.0,5620.0,22000.0,17.0,,,,,21423.1,,,,21500.0,20800.0,,,,,438.0,,,4285.714285714285,14000.0,,5.59,
2009-12-01,,780.0,,33800.0,14750.0,5120.0,5612.1,,144.625,,,,1.07,,23260.0,2485.0,,7.0,1155.0,19500.0,29.9,1190.0,40000.0,19000.0,770.0,24540.0,2420.0,,12980.0,2200.0,5580.0,21000.0,37.0,,,,,22977.5,,,,23060.0,22600.0,,,,,440.0,,30260.0,5142.857142857143,14000.0,,5.95,
2010-01-01,,815.0,,34000.0,14950.0,5200.0,6100.6,,138.75,,,,1.01,,22700.0,2455.0,,8.05,1140.0,18500.0,29.4,1198.0,40000.0,19980.0,747.0,25240.0,2410.0,,12680.0,2230.0,5500.0,20200.0,40.0,,,,,21682.1,,,,21760.0,22200.0,,,,,440.0,,28000.0,5128.571428571428,14520.0,,6.22,
2010-02-01,,846.0,,37700.0,16600.0,5240.0,6111.0,,139.375,,,,0.98,,26300.0,2560.0,,8.0,1005.0,17800.0,29.4,1234.0,40000.0,19300.0,840.0,26560.0,2400.0,,12880.0,2225.0,5550.0,20520.0,35.9,,,,,22140.5,,,,22220.0,24300.0,,,,,442.0,,,4985.714285714285,15500.0,,6.37,
2010-03-01,,885.0,,37300.0,19100.0,5900.0,6225.3,,139.25,,,,1.07,,27680.0,2700.0,,9.0,1040.0,17380.0,30.6,1250.0,42500.0,19800.0,896.0,28280.0,2440.0,,12800.0,2280.0,5720.0,21420.0,33.0,,,,,22200.3,,,,22280.0,25820.0,,,,,435.0,,,4997.142857142857,13000.0,,6.74,
2010-04-01,,1140.0,,39800.0,18450.0,6180.0,5986.3,,143.875,,,,0.98,,29900.0,2765.0,,9.85,1155.0,17680.0,30.3,1290.0,40600.0,19400.0,940.0,29720.0,2500.0,,12980.0,2335.0,5720.0,21820.0,38.5,,,,,22917.7,,,,23000.0,27800.0,,,,,440.0,,44380.0,5028.571428571428,18160.0,,7.79,
2010-05-01,,1085.0,,38800.0,17150.0,6060.0,5840.8,,146.875,,,,0.95,,29020.0,2700.0,,9.66,1075.0,17900.0,30.0,1275.4,41420.0,19200.0,908.0,29480.0,2400.0,,12720.0,2155.0,5700.0,20960.0,34.0,,,,,23415.9,,,,23500.0,27000.0,,,,,441.0,,41700.0,5000.0,12940.0,,7.35,
2010-06-01,,1105.0,,38500.0,17900.0,6240.0,5923.9,,148.5,,,,0.92,,28380.0,2755.0,,9.39,1065.0,18000.0,28.8,1254.0,45000.0,19400.0,924.0,29960.0,2410.0,,12800.0,2265.0,6000.0,20700.0,34.0,,,,,24033.7,,,,24120.0,27300.0,,,,,425.0,,43640.0,4714.285714285715,14340.0,,8.15,
2010-07-01,,1155.0,,42300.0,18400.0,6450.0,5934.3,,164.375,,,,0.9,,31580.0,3105.0,,9.54,1040.0,20080.0,29.8,1280.0,47560.0,20260.0,1040.0,32780.0,2325.0,,13080.0,2255.0,6000.0,25000.0,34.5,,,,,26883.5,,,,26980.0,28900.0,,,,,415.0,,43960.0,4785.714285714285,14040.0,,10.1,
2010-08-01,,1300.0,,49600.0,19050.0,6520.0,6142.2,,177.625,,,,0.89,,32340.0,3485.0,,13.3,1095.0,22500.0,28.8,1280.0,49000.0,20800.0,1125.0,36200.0,2365.0,,12960.0,2285.0,5800.0,25280.0,38.2,,,,,29095.5,,,,29200.0,30500.0,,,,,466.0,,43000.0,4700.0,14220.0,,10.4,
2010-09-01,,1380.0,,52000.0,19850.0,6800.0,6547.5,,183.625,,,,0.86,,34600.0,3700.0,,13.8,779.0,22380.0,27.4,1439.2,58500.0,22800.0,1330.0,38360.0,2425.0,,14100.0,2475.0,6900.0,25960.0,43.7,,,,,29693.4,,,,29800.0,33300.0,,,,,485.0,,50200.0,4782.857142857143,14440.0,,9.85,
2010-10-01,,1575.0,,53520.0,22600.0,6540.0,6599.5,,185.0,,,,0.91,,33980.0,4410.0,,14.7,740.0,24000.0,26.0,1499.0,63000.0,22000.0,1490.0,41000.0,2630.0,,14600.0,2575.0,7680.0,27000.0,45.6,,,,,31706.1,,,,31820.0,32300.0,,,,,478.0,,58000.0,4997.142857142857,14600.0,,9.94,
2010-11-01,,1495.0,,51300.0,21300.0,5900.0,5913.5,,177.125,,,,0.82,,35500.0,3840.0,,13.1,660.0,23800.0,27.3,1500.0,59000.0,19920.0,1355.0,38300.0,2880.0,,13500.0,2490.0,7500.0,25300.0,45.0,,,,,29394.4,,,,29500.0,33000.0,,,,,430.0,,60400.0,4714.285714285715,13260.0,,8.96,
2010-12-01,,1850.0,,57900.0,21500.0,5770.0,5923.9,,184.375,,,,0.89,1690.0,34320.0,4100.0,,12.7,670.0,23360.0,26.9,1745.0,59000.0,19900.0,1700.0,37480.0,2920.0,,14100.0,2600.0,7860.0,27100.0,46.8,,,,,29832.9,,,,29940.0,33620.0,,22980.0,,,458.0,,63200.0,4928.571428571428,14340.0,,9.8,
2011-01-01,,1900.0,,55760.0,20500.0,5210.0,5944.7,,168.875,,,,0.82,1610.0,35100.0,3970.0,,14.9,650.0,23000.0,30.6,1750.0,59900.0,19200.0,1615.0,35300.0,2795.0,,13200.0,2425.0,7300.0,25000.0,47.2,,,,,27202.3,,,,27300.0,34000.0,,22000.0,,,446.0,,64500.0,4142.857142857143,14200.0,,9.26,
2011-02-01,,1940.0,,54500.0,21000.0,5350.0,5716.1,,168.125,,,,0.83,1580.0,34280.0,3965.0,,14.1,610.0,25500.0,31.2,1695.4,57040.0,18560.0,1575.0,35400.0,2825.0,,12780.0,2440.0,6890.0,23520.0,48.0,,,,,27003.0,,,,27100.0,32300.0,,21820.0,,,416.0,,63640.0,4428.571428571428,14360.0,,10.5,
2011-03-01,,1910.0,,54600.0,20450.0,5200.0,5643.3,,182.5,,,,0.85,1540.0,35220.0,3885.0,,14.8,656.0,27300.0,41.9,1778.8,55580.0,18800.0,1350.0,37180.0,2770.0,,12720.0,2420.0,6300.0,23500.0,46.0,,,,,28995.9,,,,29100.0,32500.0,,20560.0,,,382.0,,51660.0,4500.0,14100.0,,11.6,
2011-04-01,,1800.0,,53220.0,20300.0,4950.0,5560.2,,180.0,,,,0.88,1600.0,34100.0,3800.0,,13.7,650.0,27200.0,44.0,1710.0,55400.0,18460.0,1350.0,36740.0,2850.0,,12540.0,2350.0,6640.0,22860.0,48.0,,,,,29035.7,,,,29140.0,32500.0,,21000.0,,,378.0,,53400.0,4285.714285714285,13960.0,,11.9,
2011-05-01,,1720.0,,52320.0,21950.0,5200.0,5996.7,,181.875,,,,0.81,1730.0,33900.0,4045.0,,13.1,710.0,26300.0,58.5,1676.8,52000.0,19580.0,1285.0,39980.0,2700.0,,13040.0,2495.0,6550.0,24960.0,47.0,,1290.0,,,29872.7,,,,29980.0,30000.0,,22400.0,,,370.0,,49760.0,4285.714285714285,13380.0,,12.2,
2011-06-01,,1620.0,,53260.0,20600.0,5070.0,5861.6,,182.5,,,,1.16,1700.0,34000.0,3840.0,,13.3,705.0,24500.0,65.0,1550.0,52680.0,19100.0,1300.0,37800.0,2635.0,,12860.0,2395.0,6200.0,23400.0,45.0,,1315.0,,,29394.4,,,,29500.0,32600.0,,21900.0,,,360.0,,47560.0,4074.285714285714,12960.0,,13.0,
2011-07-01,,1580.0,,51980.0,20150.0,4710.0,5726.5,,181.25,,,,1.12,1590.0,33000.0,3735.0,,12.1,540.0,23800.0,73.5,1470.0,52000.0,18220.0,1285.0,36000.0,2650.0,,12240.0,2320.0,5870.0,22200.0,41.9,,1280.0,,,28936.1,,,,29040.0,31200.0,,21720.0,,,325.0,,51500.0,4142.857142857143,11360.0,,11.7,
2011-08-01,,1495.0,,48800.0,18900.0,4890.0,5768.0,,180.0,,,,1.03,1640.0,34780.0,3855.0,,11.0,530.0,23460.0,73.0,1230.0,50900.0,18180.0,1210.0,35460.0,2375.0,,12200.0,2295.0,6040.0,22300.0,41.9,,1220.0,,,29095.5,,,,29200.0,33000.0,,21000.0,,,318.0,,43500.0,4142.857142857143,11300.0,,10.7,
2011-09-01,,1480.0,,50000.0,17000.0,4190.0,5664.1,,176.875,,,,1.09,1510.0,34500.0,3860.0,,10.9,580.0,22960.0,71.5,1400.0,50920.0,17400.0,1270.0,33200.0,2280.0,,11600.0,2210.0,6030.0,23280.0,38.0,,1175.0,,,26803.8,,,,26900.0,31800.0,,20300.0,,,293.0,,41160.0,4068.5714285714284,11780.0,,9.75,
2011-10-01,,1445.0,,49660.0,16650.0,4280.0,5581.0,,181.25,,,,1.0,1445.0,35140.0,4000.0,,11.9,568.0,24000.0,71.0,1315.0,50940.0,17900.0,1225.0,32780.0,2280.0,,11900.0,2200.0,5700.0,22400.0,38.0,,1220.0,,,29294.8,,,,29400.0,33500.0,,20220.0,,,310.0,,43940.0,3857.1428571428573,11520.0,,9.59,
2011-11-01,,1505.0,,47720.0,13800.0,4010.0,5539.4,,172.5,,,,0.91,1360.0,33800.0,4100.0,,10.3,476.0,23540.0,77.5,1265.0,52000.0,16320.0,1260.0,30520.0,2340.0,,10520.0,2055.0,5000.0,21300.0,31.0,,1300.0,,,27899.8,,,,28000.0,31700.0,,20200.0,,,282.0,,41360.0,3857.1428571428573,10700.0,,9.81,
2011-12-01,,1495.0,,49000.0,13400.0,3825.0,5643.3,,178.0,,,,0.82,1380.0,33840.0,4215.0,,8.04,477.0,25460.0,84.5,1175.0,51220.0,16820.0,1250.0,31100.0,2350.0,,11200.0,2080.0,4810.0,21800.0,31.0,,1280.0,,,27521.2,,,,27620.0,32400.0,,20860.0,,,309.0,,35500.0,3785.714285714286,10680.0,,9.98,
2012-01-01,,1495.0,,48960.0,14500.0,4480.0,5664.1,,174.875,,,,0.8,1250.0,34480.0,4600.0,,8.55,498.0,24600.0,90.0,1080.0,51180.0,16760.0,1200.0,30480.0,2450.0,,11220.0,2085.0,5210.0,21300.0,26.1,,1225.0,3780.0,,27960.0,,,,27960.0,33500.0,,19800.0,,,312.0,,45200.0,3685.714285714286,10800.0,,10.1,
